Username,Time,Tweet,Retweets,Likes,Interaction Count
Norman Xavier,2023-09-27T22:53:16.000Z,Dame! Not sure how you feel about the trade but the WHOLE east coast is excited to see you at an earlier time.,0,0,10
Chad Gigaski,2023-09-27T22:42:22.000Z,"but bucks pop up outta nowhere as if dame didn't know that was an option with giannis, and dame is perfectly happy . Whole heat fanbase was played by dame bucks tampered while ago",0,2,12
zack oliver,2023-09-27T23:32:29.000Z,"Good luck with the Bucks, Dame. Its been real.
Thanks for cooking Paul George with that game winner",0,1,11
Lance P,2023-09-27T22:57:59.000Z,I was on my way to the gym saw the Dame news and said sorry gym I'm out,0,2,12
Michael Grange,2023-09-27T23:04:53.000Z,Interesting detail in Dame-to-Bucks deal:,0,18,18
Derek W Wyatt - PDX Realtor,2023-09-27T23:34:33.000Z,DM me a price for a Dame & Giannis as Bucks teammates original painting.,0,3,13
Chauncey57,2023-09-27T22:58:24.000Z,"Nah Dame leaving is best for everyone in the grand scheme. Dude didn’t quit on them, and he got sent to a contender. Blazers got back some nice pieces. Win win",0,2,12
Waiting for Dame time,2023-09-27T23:34:23.000Z,"I know it sucks Portland lost Dame, but I am still going to be excited to see Scoot and Anfernee play!",0,1,11
Mike Schott,2023-09-27T22:27:02.000Z,"Dame, lifelong Blazer fan and local guy here. Been a gigantic fan of yours ever since your pre-draft workout vids were floating around and rumblings of the kid turning heads at the combine etc. I was ecstatic when we drafted you and it’s been that way for me from day 1.",0,0,10
MTNY,2023-09-27T22:43:32.000Z,"@Dame_Lillard
 you Shouldnt feel the need the explain yourself uno how quickly the media will flip anything you say to change to narrative, stay on the grind for yourself knowone else ",0,0,10
Stephen A Smith,2023-09-27T23:46:29.000Z,Breaking down the Dame trade,384,2700,3084
Under the Buss,2023-09-27T22:05:58.000Z,"Side bar: Cam was the one who broke the Dame trade first, not Woj. Dame called Cam.",42,137,179
James Takesmith,2023-09-27T21:14:42.000Z,"""The Bucks are stuck""
""The Bucks have no assets""
""The Bucks can't trade for Dame""

Horst gawd:",41,396,437
DrewTheSh(o)(o)ter,2023-09-27T22:44:19.000Z,how Giannis reacted to the dame trade,0,8,18
FanDuel,2023-09-27T21:41:58.000Z," POST DAME TRADE NBA POWER RANKINGS 

What would you change here?",106,86,192
Thee Degen Boosts,2023-09-27T20:45:34.000Z,Immediate title favorites after the Dame trade is interesting,0,6,16
thao,2023-09-27T23:03:29.000Z,nori got so excited about the dame trade that she puked on my couch,0,52,52
Betsey,2023-09-27T21:01:47.000Z,"when evaluating the Dame trade from Portland's pov, its important to note that they value Ayton differently than many of us

I see a lot of ""Blazers got fleeced!"" tweets, but that's kind of an oversimplification....

the Blazers view Ayton as an asset & longterm building block ",6,22,28
