Username,Time,Tweet,Retweets,Likes
Billy Reinhardt,2023-09-27T22:51:51.000Z,Nets seemingly stayed disciplined throughout in their decision against pursuing Damian Lillard,8,53
Billy Reinhardt,2023-09-27T22:57:47.000Z,"For me, Sean Marks renewed any lost confidence this summer by opting not to pursue Damian Lillard.

Never felt like a move Marks would make after the past 7 years of seeing him operate. Making a trade for Lillard would’ve felt like a desperation move made from the hot seat.

Good…",16,156
Dan Shafer,2023-09-27T22:08:29.000Z,"Not only is Giannis the best player that Damian Lillard has ever played with, Khris Middleton might be better than any of his Blazers teammates, too.

Lillard only played with one player who made an All-Star team alongside him his entire career (LaMarcus Aldridge in 2014, 2015).",6,73
Greatest Of All Talk,2023-09-27T23:34:43.000Z,"Emergency Podcast: Giannis, Heat Twitter, Depraved Suns Decision Making, and More Winners and Losers from the Damian Lillard Trade

Subscribe to the show: 
http://goat.supportingcast.fm

Subscribe via Stratechery: 
http://goat.passport.online",3,9
Kevin Pelton,2023-09-27T22:20:06.000Z,Grades for the three-team trade sending Damian Lillard to the Milwaukee Bucks: https://espn.com/nba/insider/insider/story/_/id/38462211/nba-trade-grades-2023-24-breaking-most-impactful-deals… (ESPN+),7,48
Scott Grodsky,2023-09-27T22:08:20.000Z,"Jrue Holiday has won three of the NBA's last four ""Teammate of the Year"" awards...Damian Lillard won the other one.",9,40
The Basement Sports,2023-09-27T21:45:19.000Z,"Damian Lillard, Kevin Durant, Donovan Mitchell, Kyrie Irving, Bradley Beal, James Harden and more were all traded during the Jimmy Butler era. 

You mean to tell me we couldn’t land a single one of them because the other side constantly negotiated in bad faith? 

Think bigger.",12,66
Heat Nation,2023-09-27T23:00:27.000Z,Miami Heat make several roster moves in wake of Damian Lillard landing with Milwaukee Bucks:,7,89
Justin W.,2023-09-27T23:38:18.000Z,"Damian Lillard had Portland with a staggering 119.5 ORTG when he was on the floor last year. 

He was not playing with any other all stars and they were still kind of a juggernaut on Offense when he played.

He's an entire ecosystem and his gravity is real. Milwaukee is scary.",4,27
Danny Marang,2023-09-27T22:56:54.000Z,"Ya know what? Let’s celebrate the Lillard era in Portland…

What is your favorite memory of Damian Lillard?",107,885
Aaron J. Fentress,2023-09-27T23:33:43.000Z,"The Blazers essentially traded Damian Lillard to the Bucks for Jrue Holiday, Grayson Allen, a first-round pick and two swaps. 

That’s all the Bucks gave up. 

Then Portland traded Nurkic, Little, Keon and Allen for Ayton and Camara.  

The value in the Dame trade depends on what…",25,117
The Athletic NBA Show,2023-09-27T21:39:04.000Z,"Emergency Pod

Damian Lillard to the Bucks
Where did this come from?
How is the fit?
@eric_nehm
 
@DaveDuFourNBA
 

Listen
Apple: ",4,32
CBS Sports Network,2023-09-27T22:27:28.000Z,"""Damian Lillard will be playing this year in the NBA Finals! This is great for Dame, for Giannis, for Milwaukee and for the NBA.""

—
@AdamSchein
 on the Damian Lillard trade",2,10
Sports Illustrated,2023-09-27T23:15:04.000Z,Damian Lillard and the new-look Bucks play the Sixers and Heat in the first week of the season,4,13
Rob Mahoney,2023-09-27T22:38:05.000Z,"Big news: Group Chat is back. Also, Damian Lillard got traded.",7,49
Grant Afseth,2023-09-27T23:43:09.000Z,"A lot can change in the NBA in the span of just two years.

Devin Booker is the only player remaining from the Phoenix Suns’ 2021 NBA Finals team. 

The Milwaukee Bucks have since swapped out Jrue Holiday for Damian Lillard.

And the Portland Trail Blazers traded a few players…",8,163
Chris Fedor,2023-09-27T22:23:02.000Z,#Cavs chances in East take hit with Damian Lillard joining Giannis -- and not just for this season either,11,59
Tim Bontemps,2023-09-27T23:10:58.000Z,"New  emergency  #HoopCollective pod w/ 
@WindhorstESPN
 and 
@espn_macmahon
 on all facets of the blockbuster Damian Lillard trade, from what it means for all three teams involved to what it means for the league (and Jrue Holiday) moving forward:",20,145
Bobby Marks,2023-09-27T21:56:06.000Z,"Breaking down the Damian Lillard trade.

What it means for Milwaukee, Portland and Phoenix.

https://m.youtube.com/watch?v=HmNOlEVots8&feature=youtu.be…

Via 
@YouTube",18,92
(((Eric Koreen))),2023-09-27T21:20:07.000Z,"The Raptors didn't get Damian Lillard, but the rumours made it clear the status quo is no longer a viable option:",8,20
Wes Goldberg,2023-09-27T22:12:47.000Z,"Just spoke with Josh Richardson for an episode of 
@LockedOnHeat
 (out tomorrow morning). Here's part of his reaction to Damian Lillard getting traded to the Bucks:

""It's done. It's set. We're going into training camp and everybody knows what it is.""

cont...",6,35
Bucks Lead,2023-09-27T22:04:20.000Z,"11 years later, Damian Lillard's time in Portland comes to a close. Here are some of the most unthinkable moments from his tenure.

Ranking Damian Lillard's 5 Greatest Moments as a Blazer, by 
@DominicChiappo2
 
#RipCity | 
@TheLeadSM",2,18
Alex Kennedy,2023-09-27T23:40:27.000Z,"On the new track “Farewell,” Damian Lillard raps about his departure from the Portland Trail Blazers. 
@Dame_Lillard",21,54
Sports Illustrated,2023-09-27T22:45:05.000Z,".
@JimmyButler
 reacted to the Bucks’ Damian Lillard trade with a joke about tampering  https://trib.al/JICJoIj",8,17
Brendan Tobin,2023-09-27T22:08:28.000Z,"Thanks to 
@BCusterTV
 for the time today. We got reaction from the man who got Damian Lillard to reveal his desire to play in Miami. 
Heard from Dame’s reps that Portland didn’t want to facilitate trade to Heat because of how Dame came out publicly 
Dame told him that he and…",20,100
Stephen A Smith,2023-09-27T23:02:25.000Z,"You know I had to jump right in and record my Damian Lillard trade reaction

Also talking:
- To 
@MatthewBerryTMR
 
- Travis and Taylor
- Colin Kaepernick
- Brittney Spears (and knives)
- More

Live right now",25,187
Jake Fischer,2023-09-27T23:46:52.000Z,"Latest for 
@YahooSports
: Plenty of notes on Damian Lillard to Milwaukee, plus what's next for the Jrue Holiday sweepstakes that Philadelphia certainly hopes will include James Harden and the Sixers",66,171
Keith Smith,2023-09-27T22:16:09.000Z,"I broke down today's huge Damian Lillard trade from all angles for 
@spotrac
:

-What does it mean for MIL, Dame and Giannis?
-Where does POR go now?
-Did PHX get better?
-What about MIA and TOR?

Financial impacts for all three teams too. Read more:",6,48
Vincent Goodwill,2023-09-27T23:26:30.000Z,"New for ⁦
@YahooSports
⁩: the Milwaukee Bucks heard Giannis Antetokounmpo loud and clear, acquiring Damian Lillard and setting the stage for a pressure-packed Finals run",16,60
Anthony Chiang,2023-09-27T21:48:14.000Z,"Three months after Damian Lillard named the Heat his preferred trade destination, the Trail Blazers dealt him to the Bucks. What happened in the Heat's pursuit of Lillard, what Lillard's agent had to say and other details",6,53
Stadium,2023-09-27T21:32:13.000Z,"“Damian Lillard will be showing up in Milwaukee fully committed. When Giannis was extension-eligible, the Bucks got Jrue Holiday...Now, again, the Bucks make a big move right as Giannis’ future has come into play.”

NBA Insider 
@ShamsCharania
 on Damian Lillard.",8,23
Kane Pitman,2023-09-27T22:56:39.000Z,"New Locked on Bucks w/
@CamilleMonae
 

Damian Lillard has been traded to Milwaukee. Noteworthy.

 https://youtu.be/EBYHxyX0Pro
 http://linktr.ee/LockedOnBucks",9,102
Dan Devine,2023-09-27T21:50:27.000Z,"When Damian Lillard gets traded while you're picking up your kids, do you run from the grind? Well, if you're me and 
@VinceGoodwill
, you run TO the MICROPHONE!
@Balldontlie
 reaction podcast, go!

: https://youtu.be/0VV1VLE4Uhw
: https://apple.co/3PUxqjT
:",6,9
